Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
4.967402e+000	1.421348e+001
4.979570e+000	1.422559e+001
4.994609e+000	1.423613e+001
5.006914e+000	1.424668e+001
5.015664e+000	1.425586e+001
5.032617e+000	1.426895e+001
5.045605e+000	1.427363e+001
5.059550e+000	1.428203e+001
5.071582e+000	1.429785e+001
5.083750e+000	1.430371e+001
5.094277e+000	1.431563e+001
5.106582e+000	1.432461e+001
5.118476e+000	1.434004e+001
5.131191e+000	1.434629e+001
5.144316e+000	1.436270e+001
5.157988e+000	1.437441e+001
5.169062e+000	1.438125e+001
5.181230e+000	1.439512e+001
5.195449e+000	1.439395e+001
5.209394e+000	1.441172e+001
5.221835e+000	1.442031e+001
5.235917e+000	1.442637e+001
5.247128e+000	1.444082e+001
5.262167e+000	1.445195e+001
5.274335e+000	1.446621e+001
5.285136e+000	1.447695e+001
5.296757e+000	1.448184e+001
5.314121e+000	1.449141e+001
5.325468e+000	1.449512e+001
5.334355e+000	1.451074e+001
5.346523e+000	1.451348e+001
5.361152e+000	1.453262e+001
5.375917e+000	1.454102e+001
5.387128e+000	1.454941e+001
5.399707e+000	1.455645e+001
5.411328e+000	1.457090e+001
5.442773e+000	1.459356e+001
5.455078e+000	1.466211e+001
5.467929e+000	1.470449e+001
5.478593e+000	1.471992e+001
5.495546e+000	1.472617e+001
5.504570e+000	1.473223e+001
5.519199e+000	1.473711e+001
5.531230e+000	1.474434e+001
5.544902e+000	1.474356e+001
5.557207e+000	1.475176e+001
5.572793e+000	1.475938e+001
5.582089e+000	1.475391e+001
5.598496e+000	1.475332e+001
5.609433e+000	1.476133e+001
5.623378e+000	1.476484e+001
5.634863e+000	1.477109e+001
5.646757e+000	1.478477e+001
5.663300e+000	1.478828e+001
5.675605e+000	1.479766e+001
5.686542e+000	1.480195e+001
5.700625e+000	1.480410e+001
5.715117e+000	1.480606e+001
5.727421e+000	1.481465e+001
5.737128e+000	1.482461e+001
5.752988e+000	1.483574e+001
5.764472e+000	1.485234e+001
5.773769e+000	1.486523e+001
5.789628e+000	1.486563e+001
5.802480e+000	1.486680e+001
5.813691e+000	1.487422e+001
5.829003e+000	1.487715e+001
5.839531e+000	1.488594e+001
5.851152e+000	1.490039e+001
5.867421e+000	1.490801e+001
5.879042e+000	1.492188e+001
5.891210e+000	1.493203e+001
5.901464e+000	1.493984e+001
5.914042e+000	1.494629e+001
5.928125e+000	1.495117e+001
5.943027e+000	1.496250e+001
5.951777e+000	1.497910e+001
5.965175e+000	1.497949e+001
5.973515e+000	1.499316e+001
5.994160e+000	1.499414e+001
6.004414e+000	1.499805e+001
6.014394e+000	1.501152e+001
6.029980e+000	1.501172e+001
6.041464e+000	1.502910e+001
6.052402e+000	1.504316e+001
6.067988e+000	1.505508e+001
6.077285e+000	1.506758e+001
6.090820e+000	1.507773e+001
6.106269e+000	1.507852e+001
6.112695e+000	1.508418e+001
6.129648e+000	1.508281e+001
6.140175e+000	1.509492e+001
6.153300e+000	1.510684e+001
6.164921e+000	1.512168e+001
6.173535e+000	1.513320e+001
6.194043e+000	1.514844e+001
6.203203e+000	1.516211e+001
6.218925e+000	1.516582e+001
6.232324e+000	1.516934e+001
6.246679e+000	1.517246e+001
6.258574e+000	1.518301e+001
6.270332e+000	1.518594e+001
6.279492e+000	1.519590e+001
6.294531e+000	1.520781e+001
6.307656e+000	1.522168e+001
6.319003e+000	1.522422e+001
6.332265e+000	1.523613e+001
6.342246e+000	1.524492e+001
6.352773e+000	1.525723e+001
6.366992e+000	1.526934e+001
6.382578e+000	1.527598e+001
6.397343e+000	1.528496e+001
6.407324e+000	1.528828e+001
6.418535e+000	1.529844e+001
6.430429e+000	1.530020e+001
6.444511e+000	1.530410e+001
6.460644e+000	1.531914e+001
6.470078e+000	1.533027e+001
6.485527e+000	1.534004e+001
6.499062e+000	1.535527e+001
6.512324e+000	1.536582e+001
6.524355e+000	1.536934e+001
6.535019e+000	1.537539e+001
6.547050e+000	1.538203e+001
6.563046e+000	1.539004e+001
6.577539e+000	1.540352e+001
6.587382e+000	1.541660e+001
6.599277e+000	1.542734e+001
6.612675e+000	1.543301e+001
6.627988e+000	1.544375e+001
6.639062e+000	1.545156e+001
6.650410e+000	1.545957e+001
6.660390e+000	1.546934e+001
6.674746e+000	1.548164e+001
6.686503e+000	1.548848e+001
6.703457e+000	1.550039e+001
6.711933e+000	1.550684e+001
6.728476e+000	1.551621e+001
6.740644e+000	1.552363e+001
6.752812e+000	1.552891e+001
6.763203e+000	1.553379e+001
6.778925e+000	1.554219e+001
6.791230e+000	1.555254e+001
6.803671e+000	1.556934e+001
6.813515e+000	1.557441e+001
6.827050e+000	1.557871e+001
6.843730e+000	1.558887e+001
6.856445e+000	1.559121e+001
6.866015e+000	1.560430e+001
6.878867e+000	1.561406e+001
6.893222e+000	1.562559e+001
6.905937e+000	1.563594e+001
6.914550e+000	1.564336e+001
6.934101e+000	1.564785e+001
6.946132e+000	1.564844e+001
6.956796e+000	1.565273e+001
6.967734e+000	1.566367e+001
6.979902e+000	1.567090e+001
6.989609e+000	1.568106e+001
7.005605e+000	1.569707e+001
7.015859e+000	1.570664e+001
7.029394e+000	1.571856e+001
7.043613e+000	1.572500e+001
7.057695e+000	1.573281e+001
7.068359e+000	1.574102e+001
7.083398e+000	1.574531e+001
7.096523e+000	1.575020e+001
7.107597e+000	1.576211e+001
7.119218e+000	1.577500e+001
7.131660e+000	1.577949e+001
7.143144e+000	1.578887e+001
7.157500e+000	1.579824e+001
7.171718e+000	1.580684e+001
7.181835e+000	1.581856e+001
7.196601e+000	1.582617e+001
7.208222e+000	1.583340e+001
7.222031e+000	1.584238e+001
7.231464e+000	1.584766e+001
7.245410e+000	1.585156e+001
7.259902e+000	1.585606e+001
7.267421e+000	1.586309e+001
7.282871e+000	1.587676e+001
7.294082e+000	1.588828e+001
7.307753e+000	1.589492e+001
7.320605e+000	1.591035e+001
7.332363e+000	1.591816e+001
7.347675e+000	1.592539e+001
7.359980e+000	1.592402e+001
7.372011e+000	1.593086e+001
7.385683e+000	1.594297e+001
7.395390e+000	1.594941e+001
7.410019e+000	1.595977e+001
7.424238e+000	1.596465e+001
7.432168e+000	1.597500e+001
