Material: 6061-T6 Aluminum
Tension Test Strain Rate: 0.001/s
Extensometer Gauge Length = 12.70 mm (neck formed between extensometer)
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)	Extensometer(mm)
3.084800e+000	1.005569e+001	7.428420e-001
3.094400e+000	1.006395e+001	7.457500e-001
3.106400e+000	1.007095e+001	7.481050e-001
3.116000e+000	1.006198e+001	7.513110e-001
3.128100e+000	1.007032e+001	7.540060e-001
3.137800e+000	1.007158e+001	7.571140e-001
3.150300e+000	1.007694e+001	7.595420e-001
3.160300e+000	1.008224e+001	7.624530e-001
3.171000e+000	1.006463e+001	7.658730e-001
3.181000e+000	1.008129e+001	7.686730e-001
3.193900e+000	1.008004e+001	7.716100e-001
3.203400e+000	1.007479e+001	7.747880e-001
3.213000e+000	1.009765e+001	7.773970e-001
3.224600e+000	1.010141e+001	7.802380e-001
3.238900e+000	1.008239e+001	7.832960e-001
3.247900e+000	1.009232e+001	7.861760e-001
3.259900e+000	1.010001e+001	7.893700e-001
3.270000e+000	1.008430e+001	7.921990e-001
3.280600e+000	1.010004e+001	7.949650e-001
3.292600e+000	1.010287e+001	7.980870e-001
3.304000e+000	1.009053e+001	8.009090e-001
3.315000e+000	1.009363e+001	8.038900e-001
3.324900e+000	1.010421e+001	8.068530e-001
3.338100e+000	1.008886e+001	8.099200e-001
3.348000e+000	1.008919e+001	8.128710e-001
3.357500e+000	1.010013e+001	8.156410e-001
3.367800e+000	1.009622e+001	8.180860e-001
3.379300e+000	1.010531e+001	8.212540e-001
3.389900e+000	1.010519e+001	8.238180e-001
3.400500e+000	1.010677e+001	8.268590e-001
3.410600e+000	1.011050e+001	8.299020e-001
3.422000e+000	1.011916e+001	8.328620e-001
3.433900e+000	1.011327e+001	8.358060e-001
3.445300e+000	1.011366e+001	8.388880e-001
3.454900e+000	1.011398e+001	8.417960e-001
3.467900e+000	1.011449e+001	8.447530e-001
3.478400e+000	1.012296e+001	8.475260e-001
3.487200e+000	1.011211e+001	8.505310e-001
3.499200e+000	1.010966e+001	8.533960e-001
3.508500e+000	1.011679e+001	8.564110e-001
3.519500e+000	1.012626e+001	8.590340e-001
3.531700e+000	1.011357e+001	8.623340e-001
3.541300e+000	1.012046e+001	8.653430e-001
3.552700e+000	1.012956e+001	8.679990e-001
3.563300e+000	1.013546e+001	8.709000e-001
3.574600e+000	1.012566e+001	8.743820e-001
3.586100e+000	1.012236e+001	8.770290e-001
3.596400e+000	1.012996e+001	8.798570e-001
3.606700e+000	1.013176e+001	8.828420e-001
3.616800e+000	1.013956e+001	8.856780e-001
3.626700e+000	1.013326e+001	8.884660e-001
3.637500e+000	1.011282e+001	8.915020e-001
3.648900e+000	1.013646e+001	8.945820e-001
3.658200e+000	1.014356e+001	8.973050e-001
3.669400e+000	1.013166e+001	9.002330e-001
3.679100e+000	1.014416e+001	9.029820e-001
3.691900e+000	1.015056e+001	9.065880e-001
3.702900e+000	1.014566e+001	9.095950e-001
3.713400e+000	1.016366e+001	9.126530e-001
3.724500e+000	1.014106e+001	9.160190e-001
3.735700e+000	1.015166e+001	9.190180e-001
3.746800e+000	1.015426e+001	9.219090e-001
3.758000e+000	1.014666e+001	9.251820e-001
3.769600e+000	1.014496e+001	9.287780e-001
3.780700e+000	1.015806e+001	9.318450e-001
3.791400e+000	1.014296e+001	9.348950e-001
3.801800e+000	1.015256e+001	9.382340e-001
3.812900e+000	1.016096e+001	9.414610e-001
3.824300e+000	1.014426e+001	9.448390e-001
3.834000e+000	1.015186e+001	9.478070e-001
3.845300e+000	1.016546e+001	9.509730e-001
3.857400e+000	1.015936e+001	9.543010e-001
3.869000e+000	1.014326e+001	9.577260e-001
3.878100e+000	1.015576e+001	9.607730e-001
3.891500e+000	1.014936e+001	9.642930e-001
3.900400e+000	1.015276e+001	9.673530e-001
3.911400e+000	1.015026e+001	9.704210e-001
3.921300e+000	1.015346e+001	9.736260e-001
3.932500e+000	1.015096e+001	9.768650e-001
3.943800e+000	1.017096e+001	9.801240e-001
3.956500e+000	1.014526e+001	9.834740e-001
3.966100e+000	1.017666e+001	9.866990e-001
3.979000e+000	1.016916e+001	9.901750e-001
3.989700e+000	1.016586e+001	9.936750e-001
4.000600e+000	1.016546e+001	9.968980e-001
4.012400e+000	1.016606e+001	1.000440e+000
4.022200e+000	1.017236e+001	1.003580e+000
4.033100e+000	1.017416e+001	1.006950e+000
4.044900e+000	1.017016e+001	1.010520e+000
4.056700e+000	1.016336e+001	1.013550e+000
4.066900e+000	1.017396e+001	1.017280e+000
4.077600e+000	1.018086e+001	1.020200e+000
4.089600e+000	1.016346e+001	1.023900e+000
4.098300e+000	1.018206e+001	1.027410e+000
4.111200e+000	1.016506e+001	1.030910e+000
4.119500e+000	1.017936e+001	1.033880e+000
4.132600e+000	1.017696e+001	1.037720e+000
4.143300e+000	1.018756e+001	1.041060e+000
4.153900e+000	1.016506e+001	1.044300e+000
4.164700e+000	1.018206e+001	1.047540e+000
4.176900e+000	1.017146e+001	1.051190e+000
4.186700e+000	1.016656e+001	1.054290e+000
4.196200e+000	1.017196e+001	1.057830e+000
4.206500e+000	1.018016e+001	1.061330e+000
4.217000e+000	1.018166e+001	1.064710e+000
4.227300e+000	1.019376e+001	1.068350e+000
4.238900e+000	1.019086e+001	1.071980e+000
4.250600e+000	1.018096e+001	1.075700e+000
4.261000e+000	1.019006e+001	1.079370e+000
4.273300e+000	1.018186e+001	1.083140e+000
4.284500e+000	1.019086e+001	1.086970e+000
4.295000e+000	1.018136e+001	1.090630e+000
4.306600e+000	1.020056e+001	1.094380e+000
4.319100e+000	1.017606e+001	1.098300e+000
4.327000e+000	1.018916e+001	1.102190e+000
4.340000e+000	1.018966e+001	1.106140e+000
4.351100e+000	1.018226e+001	1.110050e+000
4.360500e+000	1.018946e+001	1.113750e+000
4.372500e+000	1.019606e+001	1.117800e+000
4.384100e+000	1.017876e+001	1.121970e+000
4.393800e+000	1.018866e+001	1.125790e+000
4.407900e+000	1.018686e+001	1.130250e+000
4.416500e+000	1.018246e+001	1.133790e+000
4.429200e+000	1.017276e+001	1.138110e+000
4.438800e+000	1.018386e+001	1.141980e+000
4.448100e+000	1.019086e+001	1.145880e+000
4.461400e+000	1.019326e+001	1.149760e+000
4.471200e+000	1.018996e+001	1.154210e+000
4.482700e+000	1.018886e+001	1.158420e+000
4.495000e+000	1.018656e+001	1.162400e+000
4.505100e+000	1.019506e+001	1.166990e+000
4.515400e+000	1.019726e+001	1.171140e+000
4.529400e+000	1.017666e+001	1.175370e+000
4.540300e+000	1.020136e+001	1.180000e+000
4.551100e+000	1.019106e+001	1.184740e+000
4.562700e+000	1.019176e+001	1.189120e+000
4.574300e+000	1.019926e+001	1.193620e+000
4.584700e+000	1.018076e+001	1.198130e+000
4.595800e+000	1.018766e+001	1.202810e+000
4.607000e+000	1.018776e+001	1.207300e+000
4.618700e+000	1.017426e+001	1.212420e+000
4.628200e+000	1.019856e+001	1.216940e+000
4.638900e+000	1.018086e+001	1.221590e+000
4.651900e+000	1.017906e+001	1.226500e+000
4.662500e+000	1.018356e+001	1.231100e+000
4.673200e+000	1.018566e+001	1.236140e+000
4.685800e+000	1.017436e+001	1.241110e+000
4.695100e+000	1.018706e+001	1.245950e+000
4.706400e+000	1.018956e+001	1.251070e+000
4.716300e+000	1.017706e+001	1.256120e+000
4.728500e+000	1.018456e+001	1.261220e+000
4.737900e+000	1.018296e+001	1.265690e+000
4.749000e+000	1.018516e+001	1.271210e+000
4.759400e+000	1.018456e+001	1.276720e+000
4.770100e+000	1.018856e+001	1.282150e+000
4.782500e+000	1.018486e+001	1.288050e+000
4.794300e+000	1.018596e+001	1.293870e+000
4.804700e+000	1.017216e+001	1.299710e+000
4.816400e+000	1.017686e+001	1.305570e+000
4.827400e+000	1.017906e+001	1.311530e+000
4.839700e+000	1.017476e+001	1.318060e+000
4.849100e+000	1.017916e+001	1.323860e+000
4.861500e+000	1.016466e+001	1.330150e+000
4.872500e+000	1.018466e+001	1.336750e+000
4.882500e+000	1.017536e+001	1.343270e+000
4.895300e+000	1.017296e+001	1.350030e+000
4.905400e+000	1.018096e+001	1.356880e+000
4.916900e+000	1.017146e+001	1.363830e+000
4.929300e+000	1.017396e+001	1.370370e+000
4.939100e+000	1.017256e+001	1.377540e+000
4.951700e+000	1.016256e+001	1.385030e+000
4.961600e+000	1.016416e+001	1.391970e+000
4.971900e+000	1.017056e+001	1.399410e+000
4.983200e+000	1.014606e+001	1.406780e+000
4.994600e+000	1.015006e+001	1.413770e+000
5.006200e+000	1.015766e+001	1.420990e+000
5.017400e+000	1.015456e+001	1.428890e+000
5.028000e+000	1.014176e+001	1.436310e+000
5.038000e+000	1.015776e+001	1.444270e+000
5.050000e+000	1.014176e+001	1.452660e+000
5.061600e+000	1.014396e+001	1.461140e+000
5.072500e+000	1.015046e+001	1.469860e+000
5.084900e+000	1.013486e+001	1.478150e+000
5.096100e+000	1.013946e+001	1.487100e+000
5.106400e+000	1.013686e+001	1.495620e+000
5.120400e+000	1.013616e+001	1.504820e+000
5.129200e+000	1.012746e+001	1.513620e+000
5.141400e+000	1.013326e+001	1.522650e+000
5.151900e+000	1.011655e+001	1.532150e+000
5.163400e+000	1.012466e+001	1.541200e+000
5.174300e+000	1.011574e+001	1.550580e+000
5.185100e+000	1.011315e+001	1.560110e+000
5.198900e+000	1.008856e+001	1.569760e+000
5.207300e+000	1.010790e+001	1.579230e+000
5.220800e+000	1.008371e+001	1.588880e+000
5.231900e+000	1.008752e+001	1.598350e+000
5.241200e+000	1.009396e+001	1.608040e+000
5.253300e+000	1.006594e+001	1.618250e+000
5.263700e+000	1.006865e+001	1.627970e+000
5.274300e+000	1.006642e+001	1.637510e+000
5.283700e+000	1.006615e+001	1.646920e+000
5.295900e+000	1.006085e+001	1.656880e+000
5.307600e+000	1.004750e+001	1.666710e+000
5.317800e+000	1.004827e+001	1.677180e+000
5.329600e+000	1.004320e+001	1.687850e+000
5.340900e+000	1.002795e+001	1.698180e+000
5.352100e+000	1.002210e+001	1.708830e+000
5.362100e+000	1.001880e+001	1.719540e+000
5.374300e+000	1.001349e+001	1.730210e+000
5.385700e+000	1.000661e+001	1.741150e+000
5.397200e+000	1.000014e+001	1.752110e+000
5.408200e+000	1.000431e+001	1.762950e+000
5.420600e+000	9.979520e+000	1.773800e+000
5.432000e+000	9.965240e+000	1.784550e+000
5.442500e+000	9.968790e+000	1.795760e+000
5.454400e+000	9.955880e+000	1.806740e+000
5.464800e+000	9.954070e+000	1.818120e+000
5.477200e+000	9.949210e+000	1.829120e+000
5.487500e+000	9.934510e+000	1.840320e+000
5.500200e+000	9.921490e+000	1.851290e+000
5.512700e+000	9.913360e+000	1.862470e+000
5.523300e+000	9.904830e+000	1.873650e+000
5.533600e+000	9.890260e+000	1.884600e+000
5.545500e+000	9.892370e+000	1.894900e+000
5.555100e+000	9.864270e+000	1.906030e+000
5.566200e+000	9.874580e+000	1.917150e+000
5.578200e+000	9.861710e+000	1.928150e+000
5.588500e+000	9.838460e+000	1.939220e+000
5.601800e+000	9.827430e+000	1.950940e+000
5.614000e+000	9.824480e+000	1.961890e+000
5.625500e+000	9.802190e+000	1.973510e+000
5.635700e+000	9.798820e+000	1.984670e+000
5.647100e+000	9.794500e+000	1.995790e+000
5.658700e+000	9.785090e+000	2.007340e+000
5.672400e+000	9.771620e+000	2.018860e+000
5.679800e+000	9.770990e+000	2.029950e+000
5.692400e+000	9.739490e+000	2.041290e+000
5.705600e+000	9.723220e+000	2.052440e+000
5.714800e+000	9.737310e+000	2.063910e+000
5.726200e+000	9.717670e+000	2.075190e+000
5.739900e+000	9.689030e+000	2.086720e+000
5.747400e+000	9.706970e+000	2.097940e+000
5.760700e+000	9.680060e+000	2.109360e+000
5.771300e+000	9.676430e+000	2.120820e+000
5.781700e+000	9.658750e+000	2.131640e+000
5.795000e+000	9.635630e+000	2.143220e+000
5.805000e+000	9.639530e+000	2.154270e+000
5.816200e+000	9.621440e+000	2.165670e+000
5.827400e+000	9.601950e+000	2.176270e+000
5.837500e+000	9.582670e+000	2.186760e+000
